Name,Reopening Plan,
West Liberty UniversityOhio County? WV,Primarily online,
Dakota County Technical CollegeDakota County? MN,Primarily online,
St. Lawrence UniversitySt. Lawrence County? NY,Hybrid,
New England CollegeMerrimack County? NH,Primarily online,
John Brown UniversityBenton County? AR,Fully in person,
Moravian CollegeNorthampton County? PA,Hybrid,
Wytheville Community CollegeWythe County? VA,Primarily online,
Mountain Empire Community CollegeWise County? VA,Primarily in person,
Lakeland UniversitySheboygan County? WI,Primarily online,
Columbia College (Calif.)Tuolumne County? CA,Primarily online,
McKendree UniversitySt. Clair County? IL,Primarily in person,
Manhattanville CollegeWestchester County? NY,Primarily online,
Rend Lake CollegeJefferson County? IL,Primarily online,
South Georgia State CollegeCoffee County? GA,Fully in person,
Lincoln University (Mo.)Cole County? MO,Primarily in person,
Westminster College (Utah)Salt Lake County? UT,Primarily in person,
Richland Community CollegeMacon County? IL,Primarily online,
Richard Bland CollegeDinwiddie County? VA,Hybrid,
Kennebec Valley Community CollegeSomerset County? ME,Primarily online,
Rhode Island School of DesignProvidence County? RI,Primarily online,
University of Saint JosephHartford County? CT,Hybrid,
University of Hawaii Windward Community CollegeHonolulu County? HI,Primarily online,
Georgian Court UniversityOcean County? NJ,Primarily online,
Vassar CollegeDutchess County? NY,Hybrid,
Southern State Community CollegeHighland County? OH,Primarily online,
Fulton-Montgomery Community CollegeMontgomery County? NY,Primarily online,
Piedmont CollegeHabersham County? GA,Primarily in person,
Chadron State CollegeDawes County? NE,Hybrid,
Immaculata UniversityChester County? PA,Primarily in person,
University of EvansvilleVanderburgh County? IN,Primarily online,
Limestone CollegeCherokee County? SC,Primarily in person,
Gettysburg CollegeAdams County? PA,Primarily online,
Lamar State College at Port Arthur (Tex.)Jefferson County? TX,Fully in person,
Siena Heights UniversityLenawee County? MI,Primarily in person,
Galveston CollegeGalveston County? TX,Hybrid,
Delaware Valley UniversityBucks County? PA,Primarily in person,
Assumption CollegeWorcester County? MA,Primarily online,
Eastern New Mexico University at RoswellChaves County? NM,Primarily in person,
Concordia University (Neb.)Seward County? NE,Hybrid,
Ranger CollegeEastland County? TX,Hybrid,
St. Francis College (NKings County? NY,Primarily online,
Muskingum UniversityMuskingum County? OH,Fully in person,
Mount St. Mary's University (MdFrederick County? MD,Hybrid,
Cumberland UniversityWilson County? TN,Other,
Lake Tahoe Community CollegeEl Dorado County? CA,Primarily online,
University of Mount UnionStark County? OH,Hybrid,
West Virginia University at ParkersburgWood County? WV,Primarily online,
Oklahoma State University Institute of Technology at OkmulgeeOkmulgee County? OK,Primarily in person,
Dickinson CollegeCumberland County? PA,Fully online,
Herkimer County Community CollegeHerkimer County? NY,Hybrid,
Susquehanna UniversitySnyder County? PA,Primarily in person,
Eastern Maine Community CollegePenobscot County? ME,Primarily online,
Marion Technical CollegeMarion County? OH,Primarily online,
Denison UniversityLicking County? OH,Hybrid,
Cecil CollegeCecil County? MD,Primarily online,
Orangeburg-Calhoun Technical CollegeOrangeburg County? SC,Primarily online,
Virginia Highlands Community CollegeWashington County? VA,Primarily online,
University of DubuqueDubuque County? IA,Hybrid,
St. Bonaventure UniversityCattaraugus County? NY,Primarily in person,
Northwest State Community CollegeHenry County? OH,Hybrid,
Lincoln University (Pa.)Chester County? PA,Primarily online,
Mississippi Delta Community CollegeSunflower County? MS,Primarily in person,
Tompkins Cortland Community CollegeTompkins County? NY,Primarily online,
Southwest Virginia Community CollegeTazewell County? VA,Primarily online,
Nunez Community CollegeSt. Bernard Parish? LA,Primarily online,
Notre Dame of Maryland UniversityBaltimore City? MD,Hybrid,
Southwestern Community College (N.CJackson County? NC,Primarily online,
Willamette UniversityMarion County? OR,Hybrid,
Los Angeles Pacific UniversityLos Angeles County? CA,Fully online,
Southern University at New OrleansOrleans Parish? LA,Hybrid,
Mount Saint Mary College (N.YOrange County? NY,Hybrid,
Flathead Valley Community CollegeFlathead County? MT,Primarily online,
Nyack CollegeRockland County? NY,Primarily online,
Lamar State College-OrangeOrange County? TX,Primarily in person,
Hardin-Simmons UniversityTaylor County? TX,Hybrid,
Muhlenberg CollegeLehigh County? PA,Fully online,
La Sierra UniversityRiverside County? CA,Hybrid,
Chatham UniversityAllegheny County? PA,Primarily in person,
Mount Holyoke CollegeHampshire County? MA,Fully online,
North Central Michigan CollegeEmmet County? MI,Primarily in person,
Rivier UniversityHillsborough County? NH,Primarily in person,
University of PikevillePike County? KY,Primarily in person,
Bellingham Technical CollegeWhatcom County? WA,Fully online,
Kettering UniversityGenesee County? MI,Primarily in person,
Franklin & Marshall CollegeLancaster County? PA,Hybrid,
William Woods UniversityCallaway County? MO,Primarily in person,
Alfred UniversityAllegany County? NY,Primarily in person,
Sussex County Community CollegeSussex County? NJ,Primarily in person,
Seton Hill UniversityWestmoreland County? PA,Primarily in person,
Mississippi Valley State UniversityLeflore County? MS,Primarily online,
Cabrini UniversityDelaware County? PA,Hybrid,
Snead State Community CollegeMarshall County? AL,Hybrid,
State University of New York College of Agriculture and Technology at CobleskillSchoharie County? NY,Primarily in person,
Zane State CollegeMuskingum County? OH,Primarily online,
Arkansas State University-NewportJackson County? AR,Primarily in person,
Aiken Technical CollegeAiken County? SC,Primarily online,
Goucher CollegeBaltimore County? MD,Fully online,
University of Alaska-SoutheastJuneau City and Borough? AK,Primarily online,
Patrick Henry Community CollegeHenry County? VA,Primarily in person,
Drew UniversityMorris County? NJ,Fully online,
Everglades University at Boca Raton (Fla.)Palm Beach County? FL,Hybrid,
Community College of Beaver CountyBeaver County? PA,Primarily online,
Thomas More UniversityKenton County? KY,Hybrid,
Art Center College of DesignLos Angeles County? CA,Hybrid,
Point UniversityTroup County? GA,Primarily in person,
Technical College of the LowcountryBeaufort County? SC,Primarily online,
New Mexico Junior CollegeLea County? NM,Primarily in person,
Lake Area Technical InstituteCodington County? SD,Primarily in person,
Kent State University-TrumbullTrumbull County? OH,Primarily online,
Mount Vernon Nazarene UniversityKnox County? OH,Primarily in person,
Gustavus Adolphus CollegeNicollet County? MN,Primarily online,
Hobart and William Smith CollegesOntario County? NY,Hybrid,
Texas Wesleyan UniversityTarrant County? TX,Hybrid,
Trinity College (Conn.)Hartford County? CT,Primarily in person,
Cambridge CollegeSuffolk County? MA,Fully online,
California Institute of TechnologyLos Angeles County? CA,Fully online,
University of the Sciences in PhiladelphiaPhiladelphia County? PA,Primarily online,
St. Norbert CollegeBrown County? WI,Primarily online,
Terra State Community CollegeSandusky County? OH,Primarily in person,
Oklahoma Christian UniversityOklahoma County? OK,Primarily in person,
Washington and Lee UniversityLexington City? VA,Primarily in person,
Blackhawk Technical CollegeRock County? WI,Primarily in person,
State University of New York College of Environmental Science and ForestryOnondaga County? NY,Primarily online,
Wagner CollegeRichmond County? NY,Hybrid,
Indiana Institute of TechnologyAllen County? IN,Primarily online,
Mid-Plains Community CollegeLincoln County? NE,Primarily online,
Feather River CollegePlumas County? CA,Primarily online,
Emmanuel College (Mass.)Suffolk County? MA,Other,
Bard CollegeDutchess County? NY,Primarily in person,
Morehouse CollegeFulton County? GA,Fully online,
Northwest Nazarene UniversityCanyon County? ID,Primarily in person,
University of Saint Francis (Ind.)Allen County? IN,Primarily in person,
Union College (N.YSchenectady County? NY,Hybrid,
Castleton UniversityRutland County? VT,Fully online,
Taylor UniversityGrant County? IN,Hybrid,
Edgewood CollegeDane County? WI,Hybrid,
University of New Mexico at GallupMcKinley County? NM,Hybrid,
Caldwell UniversityEssex County? NJ,Hybrid,
Atlanta Metropolitan State CollegeFulton County? GA,Fully in person,
Blue Ridge Community College (N.CHenderson County? NC,Primarily online,
Kent State University-GeaugaGeauga County? OH,Hybrid,
Palmer College of ChiropracticScott County? IA,Primarily online,
Western Texas CollegeScurry County? TX,Hybrid,
Franklin Pierce UniversityCheshire County? NH,Primarily in person,
Labette Community CollegeLabette County? KS,Hybrid,
Maryland Institute College of ArtBaltimore City? MD,Fully online,
Macalester CollegeRamsey County? MN,Primarily online,
Claflin UniversityOrangeburg County? SC,Primarily online,
Spelman CollegeFulton County? GA,Fully online,
Vanguard University of Southern CaliforniaOrange County? CA,Primarily online,
Kent State University-TuscarawasTuscarawas County? OH,Hybrid,
Southeast Technical InstituteMinnehaha County? SD,Primarily in person,
Benedict CollegeRichland County? SC,Hybrid,
Mount St. Joseph UniversityHamilton County? OH,Primarily online,
L.ETerrebonne Parish? LA,Hybrid,
Southwestern Oregon Community CollegeCoos County? OR,Primarily in person,
DePauw UniversityPutnam County? IN,Primarily in person,
Chaminade University of HonoluluHonolulu County? HI,Primarily online,
Williams CollegeBerkshire County? MA,Primarily in person,
Cardinal Stritch UniversityMilwaukee County? WI,Primarily in person,
Medaille CollegeErie County? NY,Primarily in person,
Colorado CollegeEl Paso County? CO,Fully online,
Murray State CollegeJohnston County? OK,Hybrid,
Rose-Hulman Institute of TechnologyVigo County? IN,Hybrid,
Herzing University at Madison (Wis.)Dane County? WI,Undetermined,
Augustana University (S.DMinnehaha County? SD,Primarily in person,
Cornerstone UniversityKent County? MI,Hybrid,
Southwestern Michigan CollegeCass County? MI,Primarily in person,
Concordia College at MoorheadClay County? MN,Primarily in person,
Benedictine CollegeAtchison County? KS,Primarily in person,
Lancaster Bible CollegeLancaster County? PA,Primarily in person,
Langston UniversityLogan County? OK,Primarily online,
University of South Carolina at BeaufortBeaufort County? SC,Hybrid,
Peru State CollegeNemaha County? NE,Primarily in person,
City University of SeattleKing County? WA,Hybrid,
Saint Joseph's College of MaineCumberland County? ME,Primarily online,
Southwestern Assemblies of God UniversityEllis County? TX,Primarily in person,
Central State UniversityGreene County? OH,Primarily in person,
Evangel UniversityGreene County? MO,Primarily online,
Carleton CollegeRice County? MN,Hybrid,
Texas A&M University at TexarkanaBowie County? TX,Primarily in person,
Nebraska Wesleyan UniversityLancaster County? NE,Primarily in person,
Millikin UniversityMacon County? IL,Hybrid,
Methodist UniversityCumberland County? NC,Fully in person,
Connors State CollegeMuskogee County? OK,Hybrid,
Massachusetts College of Art and DesignSuffolk County? MA,Hybrid,
South Georgia Technical CollegeSumter County? GA,Primarily online,
Chipola CollegeJackson County? FL,Primarily in person,
Southern Nazarene UniversityOklahoma County? OK,Primarily in person,
Chesapeake CollegeQueen Anne's County? MD,Primarily online,
Carlow UniversityAllegheny County? PA,Primarily online,
Lake Region State CollegeRamsey County? ND,Primarily in person,
University of South Florida-Sarasota/ManateeManatee County? FL,Hybrid,
University of Virginia's College at WiseWise County? VA,Primarily online,
Marymount Manhattan CollegeNew York County? NY,Primarily online,
Lasell CollegeMiddlesex County? MA,Hybrid,
Master's University and SeminaryLos Angeles County? CA,Primarily in person,
Peninsula CollegeClallam County? WA,Undetermined,
Iowa Lakes Community CollegeEmmet County? IA,Hybrid,
Big Bend Community CollegeGrant County? WA,Primarily online,
University of New Mexico-ValenciaValencia County? NM,Hybrid,
University of Maine at FarmingtonFranklin County? ME,Hybrid,
Concord University (W.VaMercer County? WV,Primarily in person,
Freed-Hardeman UniversityChester County? TN,Fully in person,
Rhodes CollegeShelby County? TN,Fully online,
Christian Brothers UniversityShelby County? TN,Primarily in person,
North Carolina Wesleyan CollegeNash County? NC,Primarily in person,
Grace College and SeminaryKosciusko County? IN,Fully in person,
Kent State University at AshtabulaAshtabula County? OH,Primarily online,
Granite State CollegeMerrimack County? NH,Fully online,
Southwest Mississippi Community CollegePike County? MS,Undetermined,
Saint Anselm CollegeHillsborough County? NH,Primarily in person,
Pine Technical CollegePine County? MN,Primarily online,
National Park CollegeGarland County? AR,Fully online,
Roanoke CollegeSalem City? VA,Hybrid,
Berry CollegeFloyd County? GA,Primarily in person,
Ogeechee Technical CollegeBulloch County? GA,Other,
Edgecombe Community CollegeEdgecombe County? NC,Primarily online,
Oklahoma Baptist UniversityPottawatomie County? OK,Fully in person,
Southwest Wisconsin Technical CollegeGrant County? WI,Primarily in person,
Roxbury Community CollegeSuffolk County? MA,Primarily online,
Eckerd CollegePinellas County? FL,Primarily in person,
Hood CollegeFrederick County? MD,Hybrid,
Hamilton College (N.YOneida County? NY,Hybrid,
Luther CollegeWinneshiek County? IA,Hybrid,
College of Wooster (Ohio)Wayne County? OH,Primarily online,
Felician UniversityBergen County? NJ,Hybrid,
St. Thomas Aquinas CollegeRockland County? NY,Primarily in person,
Colby CollegeKennebec County? ME,Primarily in person,
Bowling Green State University? Firelands CollegeErie County? OH,Hybrid,
Latter-Day Saints Business CollegeSalt Lake County? UT,Primarily in person,
Graceland University (Iowa)Decatur County? IA,Primarily in person,
Northwestern Oklahoma State UniversityWoods County? OK,Primarily online,
Lake Superior State UniversityChippewa County? MI,Primarily in person,
Fond du Lac Tribal and Community CollegeCarlton County? MN,Primarily in person,
North Country Community CollegeEssex County? NY,Primarily online,
University of Connecticut-StamfordFairfield County? CT,Primarily in person,
Central Wyoming CollegeFremont County? WY,Primarily online,
Neosho County Community CollegeNeosho County? KS,Primarily in person,
Dominican College of BlauveltRockland County? NY,Hybrid,
Gordon College (Mass.)Essex County? MA,Hybrid,
Saint Michael's CollegeChittenden County? VT,Primarily in person,
King University (Tenn.)Sullivan County? TN,Primarily in person,
Isothermal Community CollegeRutherford County? NC,Hybrid,
Asbury UniversityJessamine County? KY,Primarily online,
U.TOrange County? NY,Other,
Mid-America Christian UniversityCleveland County? OK,Primarily in person,
Bay De Noc Community CollegeDelta County? MI,Hybrid,
Robert Morris University IllinoisCook County? IL,Primarily online,
Albright CollegeBerks County? PA,Hybrid,
Frontier Community CollegeWayne County? IL,Primarily in person,
Marshalltown Community CollegeMarshall County? IA,Hybrid,
Occidental CollegeLos Angeles County? CA,Fully online,
Redlands Community CollegeCanadian County? OK,Primarily in person,
Friends UniversitySedgwick County? KS,Primarily in person,
Keuka CollegeYates County? NY,Primarily in person,
John Wood Community CollegeAdams County? IL,Primarily in person,
Lebanon Valley CollegeLebanon County? PA,Primarily in person,
Garden City Community CollegeFinney County? KS,Primarily in person,
University of the ArtsPhiladelphia County? PA,Fully online,
Meredith CollegeWake County? NC,Primarily in person,
University of Arkansas Community College at MorriltonConway County? AR,Primarily online,
Mary Baldwin UniversityStaunton City? VA,Primarily in person,
Carl Albert State CollegeLe Flore County? OK,Undetermined,
Coffeyville Community CollegeMontgomery County? KS,Fully in person,
Northeastern Oklahoma A&M CollegeOttawa County? OK,Hybrid,
Coahoma Community CollegeCoahoma County? MS,Undetermined,
New Mexico Institute of Mining and TechnologySocorro County? NM,Primarily online,
Great Bay Community CollegeRockingham County? NH,Primarily online,
Grand View UniversityPolk County? IA,Primarily in person,
University of MobileMobile County? AL,Primarily in person,
MidAmerica Nazarene UniversityJohnson County? KS,Fully in person,
Midland UniversityDodge County? NE,Primarily in person,
Mountwest Community and Technical CollegeCabell County? WV,Hybrid,
Lackawanna CollegeLackawanna County? PA,Primarily online,
Seward County Community College/Area Technical SchoolSeward County? KS,Primarily in person,
Missouri State University at West PlainsHowell County? MO,Primarily online,
Fort Scott Community CollegeBourbon County? KS,Primarily in person,
Grays Harbor CollegeGrays Harbor County? WA,Primarily in person,
Saint Vincent CollegeWestmoreland County? PA,Hybrid,
Missouri Valley CollegeSaline County? MO,Primarily in person,
Treasure Valley Community CollegeMalheur County? OR,Primarily in person,
College of Mount Saint VincentBronx County? NY,Primarily in person,
Carl Sandburg CollegeKnox County? IL,Hybrid,
Asnuntuck Community CollegeHartford County? CT,Primarily in person,
Bridgewater CollegeRockingham County? VA,Primarily in person,
Adrian CollegeLenawee County? MI,Primarily in person,
Trenholm State Technical CollegeMontgomery County? AL,Primarily online,
Amherst CollegeHampshire County? MA,Primarily online,
North Central Missouri CollegeGrundy County? MO,Primarily online,
Walla Walla UniversityWalla Walla County? WA,Hybrid,
Whittier CollegeLos Angeles County? CA,Primarily online,
Alverno CollegeMilwaukee County? WI,Other,
Minnesota State College SoutheastWinona County? MN,Primarily online,
Buena Vista UniversityBuena Vista County? IA,Fully in person,
Connecticut CollegeNew London County? CT,Other,
Montana Technological UniversitySilver Bow County? MT,Fully in person,
Anoka Technical CollegeAnoka County? MN,Primarily online,
Clarendon CollegeDonley County? TX,Primarily online,
Davidson CollegeMecklenburg County? NC,Hybrid,
Cloud County Community CollegeCloud County? KS,Primarily in person,
Becker College at Worcester (Mass.)Worcester County? MA,Fully online,
Mount Mercy UniversityLinn County? IA,Primarily in person,
Bates CollegeAndroscoggin County? ME,Primarily in person,
Miami University at Middletown (Ohio)Butler County? OH,Primarily in person,
Pierpont Community and Technical CollegeMarion County? WV,Primarily in person,
Bowdoin CollegeCumberland County? ME,Primarily online,
Western Nebraska Community CollegeScotts Bluff County? NE,Fully in person,
Greenfield Community CollegeFranklin County? MA,Primarily online,
Marian University (Wis.)Fond du Lac County? WI,Primarily in person,
Southeastern Technical CollegeToombs County? GA,Fully online,
North Arkansas CollegeBoone County? AR,Primarily online,
California College of the ArtsSan Francisco County? CA,Fully online,
Lubbock Christian UniversityLubbock County? TX,Primarily in person,
Centenary UniversityWarren County? NJ,Other,
Massachusetts Maritime AcademyBarnstable County? MA,Primarily in person,
Wittenberg UniversityClark County? OH,Hybrid,
Pennsylvania College of Health SciencesLancaster County? PA,Primarily in person,
Washington State Community College (Ohio)Washington County? OH,Primarily in person,
Chestnut Hill CollegePhiladelphia County? PA,Fully online,
University of Maine at Fort KentAroostook County? ME,Primarily online,
New Mexico State University at CarlsbadEddy County? NM,Primarily online,
Sewanee: The University of the SouthFranklin County? TN,Hybrid,
Mount Aloysius CollegeCambria County? PA,Primarily in person,
Lurleen B. Wallace Community CollegeCovington County? AL,Primarily online,
College of Saint BenedictStearns County? MN,Hybrid,
Trinity Washington UniversityDistrict of Columbia? DC,Primarily online,
Dominican University of CaliforniaMarin County? CA,Primarily online,
Western Piedmont Community CollegeBurke County? NC,Hybrid,
Kentucky State UniversityFranklin County? KY,Primarily online,
Saint John's University (Minn.)Stearns County? MN,Hybrid,
Trinity International UniversityLake County? IL,Primarily in person,
Allegheny CollegeCrawford County? PA,Fully in person,
Thomas College (Me.)Kennebec County? ME,Primarily in person,
Wheaton College (Mass.)Bristol County? MA,Hybrid,
Aquinas College (Mich.)Kent County? MI,Primarily online,
Spalding UniversityJefferson County? KY,Hybrid,
West Virginia University Institute of TechnologyRaleigh County? WV,Primarily in person,
Copper Mountain CollegeSan Bernardino County? CA,Primarily online,
Northwest Iowa Community CollegeSioux County? IA,Primarily in person,
Roberts Wesleyan CollegeMonroe County? NY,Primarily online,
Concordia College (N.YWestchester County? NY,Primarily online,
Tusculum UniversityGreene County? TN,Primarily in person,
State University of New York Maritime CollegeBronx County? NY,Primarily in person,
Drury UniversityGreene County? MO,Fully in person,
Kenyon CollegeKnox County? OH,Primarily online,
Anderson University (Ind.)Madison County? IN,Primarily in person,
Ohio Dominican UniversityFranklin County? OH,Primarily in person,
Grinnell CollegePoweshiek County? IA,Fully online,
Harris-Stowe State UniversitySt. Louis City? MO,Primarily in person,
Sarah Lawrence CollegeWestchester County? NY,Primarily online,
Enterprise State Community CollegeCoffee County? AL,Primarily online,
AdventHealth UniversityOrange County? FL,Primarily online,
University of Rio GrandeGallia County? OH,Primarily in person,
Notre Dame College (Ohio)Cuyahoga County? OH,Hybrid,
Ranken Technical CollegeSt. Louis City? MO,Fully in person,
Kent State University at SalemColumbiana County? OH,Primarily online,
Berkshire Community CollegeBerkshire County? MA,Primarily online,
William Jessup UniversityPlacer County? CA,Hybrid,
Illinois Wesleyan UniversityMcLean County? IL,Primarily online,
Wilson Community CollegeWilson County? NC,Primarily online,
Bryn Mawr CollegeMontgomery County? PA,Primarily in person,
BridgeValley Community & Technical CollegeKanawha County? WV,Primarily online,
Elizabethtown CollegeLancaster County? PA,Primarily in person,
Bloomfield CollegeEssex County? NJ,Primarily online,
Virginia Military InstituteLexington City? VA,Primarily in person,
Rockingham Community CollegeRockingham County? NC,Primarily online,
University of Akron-Wayne CollegeWayne County? OH,Primarily online,
Central Alabama Community CollegeTallapoosa County? AL,Primarily online,
Johnson & Wales University at Charlotte (N.CMecklenburg County? NC,Primarily online,
Blue Mountain Community CollegeUmatilla County? OR,Primarily online,
College of the SiskiyousSiskiyou County? CA,Hybrid,
Elizabeth City State UniversityPasquotank County? NC,Hybrid,
American Musical and Dramatic AcademyNew York County? NY,Primarily online,
Waynesburg UniversityGreene County? PA,Primarily in person,
Berea CollegeMadison County? KY,Primarily online,
Touro University WorldwideOrange County? CA,Fully online,
Robeson Community CollegeRobeson County? NC,Hybrid,
Midway UniversityWoodford County? KY,Primarily in person,
Malone UniversityStark County? OH,Hybrid,
Montcalm Community CollegeMontcalm County? MI,Primarily in person,
Wofford CollegeSpartanburg County? SC,Primarily in person,
Fisher CollegeSuffolk County? MA,Primarily in person,
Ouachita Baptist UniversityClark County? AR,Primarily online,
Toccoa Falls CollegeStephens County? GA,Primarily in person,
Pittsburgh Technical InstituteAllegheny County? PA,Primarily online,
Southeastern Illinois CollegeSaline County? IL,Primarily online,
Avila UniversityJackson County? MO,Hybrid,
Charter Oak State CollegeHartford County? CT,Fully online,
Vermont Technical CollegeOrange County? VT,Hybrid,
Oakwood UniversityMadison County? AL,Primarily in person,
New Mexico State University at AlamogordoOtero County? NM,Primarily online,
York County Community CollegeYork County? ME,Primarily online,
Mansfield University of PennsylvaniaTioga County? PA,Primarily in person,
Sauk Valley Community CollegeLee County? IL,Primarily online,
Haywood Community CollegeHaywood County? NC,Hybrid,
Nashua Community CollegeHillsborough County? NH,Primarily online,
University of Sioux FallsMinnehaha County? SD,Fully in person,
East Texas Baptist UniversityHarrison County? TX,Hybrid,
Saint Mary's College (Ind.)St. Joseph County? IN,Primarily in person,
Doane University at LincolnLancaster County? NE,Hybrid,
Georgetown CollegeScott County? KY,Primarily in person,
Saint Martin's UniversityThurston County? WA,Hybrid,
Seminole State CollegeSeminole County? OK,Primarily in person,
Navajo Technical UniversityMcKinley County? NM,Primarily online,
Highland Community College (Ill.)Stephenson County? IL,Other,
Cedar Crest CollegeLehigh County? PA,Primarily online,
Nichols CollegeWorcester County? MA,Primarily in person,
Maharishi University of ManagementJefferson County? IA,Primarily online,
Ohio University at ChillicotheRoss County? OH,Hybrid,
Henderson Community CollegeHenderson County? KY,Hybrid,
Glenville State CollegeGilmer County? WV,Primarily in person,
Columbia-Greene Community CollegeColumbia County? NY,Primarily online,
Black River Technical CollegeRandolph County? AR,Primarily in person,
St. Mary's College of MarylandSt. Mary's County? MD,Primarily in person,
Logan UniversitySt. Louis County? MO,Primarily in person,
Guilford CollegeGuilford County? NC,Primarily in person,
Pomona CollegeLos Angeles County? CA,Fully online,
Ohio University Lancaster CampusFairfield County? OH,Hybrid,
Chattahoochee Valley Community CollegeRussell County? AL,Other,
Reinhardt UniversityCherokee County? GA,Hybrid,
College of the OzarksTaney County? MO,Primarily in person,
Johnson C. Smith UniversityMecklenburg County? NC,Fully online,
Dordt CollegeSioux County? IA,Fully in person,
Ringling College of Art and DesignSarasota County? FL,Primarily online,
Ohio Wesleyan UniversityDelaware County? OH,Primarily in person,
Swarthmore CollegeDelaware County? PA,Primarily online,
University of Arkansas Community College-Hope-TexarkanaHempstead County? AR,Primarily online,
Gallaudet UniversityDistrict of Columbia? DC,Fully online,
Belmont Abbey CollegeGaston County? NC,Primarily in person,
University of Maine at Presque IsleAroostook County? ME,Hybrid,
University of Minnesota at MorrisStevens County? MN,Hybrid,
Virginia Union UniversityRichmond City? VA,Undetermined,
Southern Wesleyan UniversityPickens County? SC,Fully online,
Miles CollegeJefferson County? AL,Primarily in person,
Dodge City Community CollegeFord County? KS,Fully in person,
Southwestern Community College (Iowa)Union County? IA,Primarily online,
Valley City State UniversityBarnes County? ND,Hybrid,
Beaufort County Community CollegeBeaufort County? NC,Primarily in person,
Geneva CollegeBeaver County? PA,Primarily in person,
Trinidad State Junior CollegeLas Animas County? CO,Hybrid,
Drury University-College of Continuing Professional StudiesGreene County? MO,Primarily in person,
Vaughn College of Aeronautics and TechnologyQueens County? NY,Hybrid,
West Virginia Northern Community CollegeOhio County? WV,Primarily online,
Eastern Oklahoma State CollegeLatimer County? OK,Hybrid,
Sullivan County Community CollegeSullivan County? NY,Primarily online,
Albion CollegeCalhoun County? MI,Fully in person,
Elms CollegeHampden County? MA,Primarily online,
Manchester UniversityWabash County? IN,Primarily in person,
University of South Carolina at LancasterLancaster County? SC,Primarily in person,
University of Montana Helena College of TechnologyLewis and Clark County? MT,Primarily online,
Phillips Community College of the University of ArkansasPhillips County? AR,Hybrid,
Dine CollegeApache County? AZ,Primarily online,
Cossatot Community College of the University of ArkansasSevier County? AR,Primarily in person,
Montana State University College of Technology at Great FallsCascade County? MT,Primarily online,
Southwestern College (Kan.)Cowley County? KS,Hybrid,
Klamath Community CollegeKlamath County? OR,Undetermined,
Bethel College (Ind.)St. Joseph County? IN,Primarily in person,
Lake Forest CollegeLake County? IL,Fully online,
Mercy College of OhioLucas County? OH,Primarily online,
Crown College (Minn.)Carver County? MN,Hybrid,
University of Pittsburgh at GreensburgWestmoreland County? PA,Hybrid,
University of Montana WesternBeaverhead County? MT,Primarily in person,
Johnson & Wales University-OnlineProvidence County? RI,Fully online,
California Institute of the ArtsLos Angeles County? CA,Primarily online,
Reed CollegeMultnomah County? OR,Hybrid,
Wilson College (Pa.)Franklin County? PA,Fully online,
Wartburg CollegeBremer County? IA,Primarily in person,
Kaplan University at IndianapoliMarion County? IN,Fully online,
Goldey-Beacom CollegeNew Castle County? DE,Fully online,
Northeastern Junior CollegeLogan County? CO,Hybrid,
Notre Dame de Namur UniversitySan Mateo County? CA,Fully online,
Kirtland Community CollegeRoscommon County? MI,Primarily online,
Loras CollegeDubuque County? IA,Hybrid,
Northwest College (Wyo.)Park County? WY,Hybrid,
Randolph-Macon CollegeHanover County? VA,Primarily online,
University of Hawaii Kauai Community CollegeKauai County? HI,Hybrid,
College for Creative StudiesWayne County? MI,Primarily online,
Frank Phillips CollegeHutchinson County? TX,Undetermined,
Brunswick Community CollegeBrunswick County? NC,Primarily online,
George Corley Wallace State Community College at Selma (Ala.)Dallas County? AL,Other,
Whitman CollegeWalla Walla County? WA,Primarily online,
South Arkansas Community CollegeUnion County? AR,Undetermined,
State Technical College of MissouriOsage County? MO,Primarily in person,
Kalamazoo CollegeKalamazoo County? MI,Fully online,
Lawrence UniversityOutagamie County? WI,Hybrid,
Eastern Wyoming CollegeGoshen County? WY,Undetermined,
Anna Maria CollegeWorcester County? MA,Primarily in person,
Southern West Virginia Community and Technical CollegeLogan County? WV,Primarily in person,
Albertus Magnus CollegeNew Haven County? CT,Primarily in person,
Massachusetts College of Liberal ArtsBerkshire County? MA,Hybrid,
Shorter UniversityFloyd County? GA,Other,
Southeastern Community College (N.CColumbus County? NC,Primarily online,
Simpson College (Iowa)Warren County? IA,Primarily in person,
Lourdes UniversityLucas County? OH,Primarily in person,
